t,x,y,z
0,0.0,1.0,1.05
1,0.1,0.99,1.022
2,0.189,1.007078,0.9957366666666667
3,0.2708078,1.0480452777,0.971087066308889
4,0.34853154777,1.1107612294026443,0.9480295995668618
5,0.4247545159332644,1.1939382682475297,0.9266201635499449
6,0.5016728911646909,1.296994289036142,0.9069815992337832
7,0.5812050309518361,1.419942674860686,0.8893020920022642
8,0.6650787953427211,1.5633119882795161,0.8738401478117929
9,0.7549021146364006,1.728089205564395,0.8609350004092428
10,0.8522208237292,1.915681689083209,0.8510221156872719
11,0.958566910264601,2.127894115152125,0.8446540308730124
12,1.0754996307533533,2.3669173348285275,0.8425272122563814
13,1.2046414011608708,2.635326681034367,0.8455160071258625
14,1.3477099291482204,2.936087570673787,0.8547151498580848
15,1.506547693300777,3.2725663941879795,0.8714926895803267
16,1.6831495633894973,3.6485446313581598,0.8975556580482267
17,1.8796890701863636,4.068233858654021,0.9350313035330498
18,2.0985435490331295,4.536288778504331,0.9865672826295757
19,2.3423180719802494,5.057814540382069,1.05545481728627
20,2.6138677188204316,5.638363346205836,1.1457794595185835
21,2.916317281558972,6.283913514592267,1.2626046999743659
22,3.2530769048623016,7.000821659219728,1.4121940970926568
23,3.6278513802980443,7.795735215964625,1.6022777003835273
24,4.044639763864702,8.67544799661886,1.8423679826767199
25,4.507720587140118,9.646675502510734,2.144128789169991
26,5.021616078677179,10.715719177040645,2.52179719906007
27,5.591026388513526,11.887979513680218,2.9926515508919684
28,6.220721701030195,13.167267169400574,3.577507581205792
29,6.915376247867233,14.554849783534953,4.3012064252798305
30,7.679323601434005,16.048162027596888,5.1930302121156995
31,8.516207444050293,17.63910142101384,6.2869397006408985
32,9.428496841746648,19.311839664348852,7.621470443570436
33,10.416831124006869,21.04011028332773,9.2390474245782
34,11.479159039938954,22.78400592753116,11.1843855831085
35,12.609643728698176,24.48645699071373,13.501547576982695
36,13.797325054899732,26.069795617523884,16.229161296573068
37,15.024572111162147,27.433158538948405,19.39331810449556
38,16.265430753940773,28.451944081327323,22.997877642096086
39,17.48408208667943,28.9810413888663,27.01243216767177
40,18.633778016898116,28.863898145443546,31.359169709204444
41,19.65679002975266,27.94931893716507,35.90135989107118
42,20.4860429204939,26.116672024510464,40.43792923220039
43,21.049105830895556,23.30746578333613,44.70985709302089
44,21.274941826139614,19.557115621801394,48.42360737644119
45,21.103159205705794,15.016433877446357,51.2930761511452
46,20.49448667287985,9.950694594589434,53.09420273529171
47,19.44010746505081,4.708259613393729,53.71770110656437
48,17.9669226798851,-0.3383717153968844,53.20051980563331
49,16.136393240356902,-4.862745906650185,51.72104429300713
50,14.036479325656193,-8.641839435422552,49.557144643417175
51,11.768647449548318,-11.58128519214338,47.02261078054989
52,9.433654185379147,-13.704176338684634,44.40571386867846
53,7.119871132972769,-15.114792888311701,41.92875689410097
54,4.8964047308443215,-15.955354500713634,39.73450293459475
55,2.8112288076885257,-16.370369712537062,37.8936774570763
56,0.8930689556659668,-16.484799926224806,36.42297084227031
57,-0.8447179325231107,-16.39517486469967,35.304470989265006
58,-2.399763625740767,-16.169520939730404,34.50151141170191
59,-3.7767393571397303,-15.851804824351692,33.96950138935805
60,-4.984245903860927,-15.467834267711286,33.66232937059343
61,-6.032604740245963,-15.030931505317255,33.53562214994867
62,-6.932437416753093,-14.546679986044174,33.5480955791096
63,-7.693861673682201,-14.016594932340313,33.66191918324787
64,-8.326134999548012,-13.440808752982141,33.84268543048254
65,-8.837602374891425,-12.819930788911421,34.059313700807365
66,-9.235835216293424,-12.156233429497634,34.284039843312776
67,-9.527875037613844,-11.454287530348067,34.49252846888081
68,-9.720516286887266,-10.72114465574812,34.664077912051205
69,-9.820579123773351,-9.966150430378844,34.781853113465914
70,-9.8351362544339,-9.20047167500905,34.833070719049786
71,-9.771669796491414,-8.436425142678587,34.8090677584962
72,-9.638145331110131,-7.686701273672194,34.7052055591737
73,-9.443000925366338,-6.963576804392635,34.52058885085388
74,-9.195058513268968,-6.278201770823242,34.25761043690851
75,-8.903372839024396,-5.640028811908846,33.92135848499923
76,-8.57703843631284,-5.05642790073507,33.5189417187519
77,-8.224977382755062,-4.532501869232664,33.058795037469004
78,-7.855729831402822,-4.071092102868577,32.5500244234205
79,-7.4772660585493975,-3.6729435558731325,32.00183776891822
80,-7.096833808281771,-3.3369860631008685,31.423091190266714
81,-6.72084903376368,-3.060685109590697,30.821962446963393
82,-6.354832641346382,-2.8404184226448765,30.20574747399218
83,-6.0033912194762316,-2.6718426779554996,29.580764711758775
84,-5.6702363653241585,-2.5502247612696394,28.952345488171808
85,-5.3582352049187065,-2.4707222734631014,28.32488671363157
86,-5.069483911773146,-2.4286068564625602,27.70194351194053
87,-4.805396206242087,-2.4194307136081057,27.086342852157372
88,-4.566799656978689,-2.439141252392514,26.480303607824222
